Category: All categories

Month,tennessee lady vols: (United States)
2004-01,29
2004-02,32
2004-03,41
2004-04,48
2004-05,9
2004-06,6
2004-07,10
2004-08,3
2004-09,11
2004-10,18
2004-11,42
2004-12,72
2005-01,21
2005-02,52
2005-03,92
2005-04,31
2005-05,17
2005-06,20
2005-07,9
2005-08,12
2005-09,19
2005-10,16
2005-11,78
2005-12,41
2006-01,72
2006-02,46
2006-03,96
2006-04,28
2006-05,22
2006-06,10
2006-07,13
2006-08,16
2006-09,21
2006-10,23
2006-11,44
2006-12,36
2007-01,38
2007-02,45
2007-03,47
2007-04,100
2007-05,28
2007-06,34
2007-07,26
2007-08,26
2007-09,23
2007-10,28
2007-11,64
2007-12,54
2008-01,53
2008-02,60
2008-03,66
2008-04,85
2008-05,23
2008-06,13
2008-07,13
2008-08,10
2008-09,20
2008-10,14
2008-11,40
2008-12,33
2009-01,42
2009-02,49
2009-03,42
2009-04,9
2009-05,8
2009-06,2
2009-07,6
2009-08,5
2009-09,12
2009-10,17
2009-11,46
2009-12,36
2010-01,40
2010-02,22
2010-03,32
2010-04,6
2010-05,7
2010-06,12
2010-07,5
2010-08,5
2010-09,8
2010-10,9
2010-11,26
2010-12,24
2011-01,26
2011-02,27
2011-03,44
2011-04,11
2011-05,9
2011-06,5
2011-07,3
2011-08,12
2011-09,9
2011-10,10
2011-11,32
2011-12,26
2012-01,36
2012-02,24
2012-03,41
2012-04,18
2012-05,11
2012-06,7
2012-07,7
2012-08,6
2012-09,4
2012-10,9
2012-11,20
2012-12,16
2013-01,20
2013-02,18
2013-03,26
2013-04,16
2013-05,9
2013-06,17
2013-07,6
2013-08,6
2013-09,5
2013-10,6
2013-11,23
2013-12,18
2014-01,16
2014-02,15
2014-03,32
2014-04,9
2014-05,7
2014-06,4
2014-07,2
2014-08,6
2014-09,6
2014-10,4
2014-11,15
2014-12,18
2015-01,22
2015-02,23
2015-03,38
2015-04,8
2015-05,12
2015-06,2
2015-07,3
2015-08,4
2015-09,4
2015-10,6
2015-11,19
2015-12,15
2016-01,19
2016-02,26
2016-03,37
2016-04,5
2016-05,6
2016-06,11
2016-07,6
2016-08,4
2016-09,5
2016-10,7
2016-11,17
2016-12,16
2017-01,23
2017-02,24
2017-03,21
2017-04,6
2017-05,7
2017-06,5
2017-07,4
2017-08,3
2017-09,3
2017-10,6
2017-11,20
2017-12,35
2018-01,45
2018-02,38
2018-03,36
2018-04,7
2018-05,7
2018-06,3
2018-07,4
2018-08,6
2018-09,4
2018-10,7
2018-11,27
2018-12,31
2019-01,43
2019-02,43
2019-03,50
2019-04,32
2019-05,13
2019-06,5
2019-07,5
2019-08,6
2019-09,6
2019-10,8
2019-11,53
2019-12,37
2020-01,50
2020-02,39
2020-03,19
2020-04,4
2020-05,4
2020-06,4
2020-07,3
2020-08,2
2020-09,3
2020-10,4
2020-11,8
2020-12,27
2021-01,40
2021-02,38
2021-03,35
2021-04,8
2021-05,9
2021-06,3
2021-07,3
2021-08,2
2021-09,3
2021-10,5
2021-11,38
2021-12,45
2022-01,56
2022-02,63
2022-03,57
